brand,source,title,url,snippet,date,scraped_at
HBL,Dawn,Jinnah’s federal court was a bridge. The 27th Amendment burns it,https://www.dawn.com/news/1957046/jinnahs-federal-court-was-a-bridge-the-27th-amendment-burns-it,N/A,N/A,2025-11-27T14:11:01.029895
HBL,Dawn,N/A,https://www.dawn.com/news/1751392/advertisment-supplement,N/A,N/A,2025-11-27T14:11:01.029895
HBL,Dawn,US extends China tech tariff exclusions to November 2026,https://www.chinadaily.com.cn/a/202511/27/WS6927b8f0a310d6866eb2bae9.html,N/A,N/A,2025-11-27T14:11:01.029895
HBL,Dawn,Civilization shaped by mighty waters,https://www.chinadaily.com.cn/a/202511/27/WS69279354a310d6866eb2b991.html,N/A,N/A,2025-11-27T14:11:01.029895
HBL,Dawn,Going nowhere,https://www.chinadaily.com.cn/a/202511/27/WS6927a568a310d6866eb2ba12.html,N/A,N/A,2025-11-27T14:11:01.029895
Habib Bank,Dawn,Jinnah’s federal court was a bridge. The 27th Amendment burns it,https://www.dawn.com/news/1957046/jinnahs-federal-court-was-a-bridge-the-27th-amendment-burns-it,N/A,N/A,2025-11-27T14:11:08.374676
Habib Bank,Dawn,N/A,https://www.dawn.com/news/1751392/advertisment-supplement,N/A,N/A,2025-11-27T14:11:08.374676
Habib Bank,Dawn,US extends China tech tariff exclusions to November 2026,https://www.chinadaily.com.cn/a/202511/27/WS6927b8f0a310d6866eb2bae9.html,N/A,N/A,2025-11-27T14:11:08.374676
Habib Bank,Dawn,Civilization shaped by mighty waters,https://www.chinadaily.com.cn/a/202511/27/WS69279354a310d6866eb2b991.html,N/A,N/A,2025-11-27T14:11:08.374676
Habib Bank,Dawn,Going nowhere,https://www.chinadaily.com.cn/a/202511/27/WS6927a568a310d6866eb2ba12.html,N/A,N/A,2025-11-27T14:11:08.374676
Meezan Bank,Dawn,Jinnah’s federal court was a bridge. The 27th Amendment burns it,https://www.dawn.com/news/1957046/jinnahs-federal-court-was-a-bridge-the-27th-amendment-burns-it,N/A,N/A,2025-11-27T14:11:15.682383
Meezan Bank,Dawn,N/A,https://www.dawn.com/news/1751392/advertisment-supplement,N/A,N/A,2025-11-27T14:11:15.682383
Meezan Bank,Dawn,US extends China tech tariff exclusions to November 2026,https://www.chinadaily.com.cn/a/202511/27/WS6927b8f0a310d6866eb2bae9.html,N/A,N/A,2025-11-27T14:11:15.682383
Meezan Bank,Dawn,Civilization shaped by mighty waters,https://www.chinadaily.com.cn/a/202511/27/WS69279354a310d6866eb2b991.html,N/A,N/A,2025-11-27T14:11:15.682383
Meezan Bank,Dawn,Going nowhere,https://www.chinadaily.com.cn/a/202511/27/WS6927a568a310d6866eb2ba12.html,N/A,N/A,2025-11-27T14:11:15.686551
Bank Alfalah,Dawn,Jinnah’s federal court was a bridge. The 27th Amendment burns it,https://www.dawn.com/news/1957046/jinnahs-federal-court-was-a-bridge-the-27th-amendment-burns-it,N/A,N/A,2025-11-27T14:11:23.165142
Bank Alfalah,Dawn,N/A,https://www.dawn.com/news/1751392/advertisment-supplement,N/A,N/A,2025-11-27T14:11:23.165142
Bank Alfalah,Dawn,US extends China tech tariff exclusions to November 2026,https://www.chinadaily.com.cn/a/202511/27/WS6927b8f0a310d6866eb2bae9.html,N/A,N/A,2025-11-27T14:11:23.165142
Bank Alfalah,Dawn,Civilization shaped by mighty waters,https://www.chinadaily.com.cn/a/202511/27/WS69279354a310d6866eb2b991.html,N/A,N/A,2025-11-27T14:11:23.165142
Bank Alfalah,Dawn,Going nowhere,https://www.chinadaily.com.cn/a/202511/27/WS6927a568a310d6866eb2ba12.html,N/A,N/A,2025-11-27T14:11:23.165142
